Регион,Заражено,Вылечено,Погибло
Москва,20754+2649,1679+162,148+21
Московская область,3954+428,126+21,40
Санкт-Петербург,1646+139,232+101,8+1
Нижегородская область,517+59,21,4
Республика Коми,474+19,6,3
Ленинградская область,388+34,9,-
Краснодарский край,335+45,49+1,4+1
Мурманская область,321+7,27+6,2+1
Красноярский край,276+45,17,-
Республика Дагестан,257+44,28+19,9
Брянская область,256+28,29+6,1
Республика Башкортостан,252+39,14,8
Тверская область,237+49,9,-
Тульская область,229+30,25+1,-
Республика Ингушетия,227+36,22+21,4+2
Рязанская область,225+41,9+5,-
Республика Марий Эл,219+40,24,1
Ставропольский край,209+54,24+5,2
Владимирская область,198+15,11+10,5
Республика Мордовия,198+62,5,1
Ростовская область,197+29,12+2,-
Тюменская область,185+39,10,2
Чеченская Республика,175+60,15,5
Пермский край,170+26,21+2,3
Курская область,170+25,8,2
Тамбовская область,165+32,8,-
Ивановская область,164+15,12+2,1+1
Республика Чувашия,164+27,6+4,1
Ханты-Мансийский АО,161+33,19+4,-
Республика Татарстан,160+16,25+7,-
Ульяновская область,157+19,2,2
Смоленская область,152+13,1,2
Калужская область,151+29,9,2+1
Хабаровский край,147+38,12+3,4+1
Оренбургская область,140+20,15+2,2
Пензенская область,140+21,4,2
Воронежская область,130+22,24,5+4
Липецкая область,129+21,38+9,-
Свердловская область,126+11,49+2,1+1
Орловская область,119+34,7,1+1
Калининградская область,115+11,30+2,1
Кабардино-Балкарская Республика,114+22,8+5,-
Республика Бурятия,112+9,26+2,2
Кировская область,111+20,13+3,2
Ямало-Ненецкий автономный округ,106+5,7+2,1
Ярославская область,105+24,12+5,-
Астраханская область,99+35,7,3
Саратовская область,98+11,13,-
Республика Северная Осетия — Алания,94+29,5+2,2
Новосибирская область,86+10,16+2,2
Вологодская область,86+9,13+4,-
Республика Адыгея,84+5,15,2
Белгородская область,81+11,9,2
Новгородская область,80+6,4,1+1
Волгоградская область,79+17,23+16,1+1
Республика Калмыкия,67+14,9,3
Приморский край,67+18,4+1,2
Самарская область,64+1,15+1,-
Алтайский край,63+10,4,-
Удмуртская Республика,62+4,6,3
Магаданская область,62+44,1,-
Челябинская область,61+4,29+3,-
Иркутская область,54+7,10+6,2
Костромская область,53+6,7,2
Карачаево-Черкесская Республика,50+1,1+1,-
Республика Саха (Якутия),47+9,16+1,-
Республика Хакасия,46+8,3,-
Республика Крым,43+3,21+7,-
Псковская область,42+5,8,6+2
Архангельская область,39+5,11,-
Забайкальский край,33+3,4+3,-
Омская область,31+5,13+4,-
Камчатский край,29,2,-
Кемеровская область,26+4,6+1,1+1
Томская область,24+3,4,-
Сахалинская область,19,6,-
Еврейская автономная область,19+3,4,-
Республика Карелия,15+6,-,-
Амурская область,14+3,4+1,-
Курганская область,13+1,3,-
Севастополь,12,2,-
